activity,time,playing
Playing racquet sports,0.0,0.0
Playing racquet sports,5.0,0.0
Playing racquet sports,10.0,0.0
Playing racquet sports,15.0,0.0
Playing racquet sports,20.0,0.0
Playing racquet sports,25.0,0.0
Playing racquet sports,30.0,0.0
Playing racquet sports,35.0,0.0
Playing racquet sports,40.0,0.0
Playing racquet sports,45.0,0.0
Playing racquet sports,50.0,0.0
Playing racquet sports,55.0,0.0
Playing racquet sports,60.0,0.0
Playing racquet sports,65.0,0.0
Playing racquet sports,70.0,0.0
Playing racquet sports,75.0,0.0
Playing racquet sports,80.0,0.0
Playing racquet sports,85.0,0.0
Playing racquet sports,90.0,0.0
Playing racquet sports,95.0,0.0
Playing racquet sports,100.0,0.0
Playing racquet sports,105.0,0.0
Playing racquet sports,110.0,0.0
Playing racquet sports,115.0,0.0
Playing racquet sports,120.0,0.0
Playing racquet sports,125.0,0.0
Playing racquet sports,130.0,0.0
Playing racquet sports,135.0,0.0
Playing racquet sports,140.0,0.0
Playing racquet sports,145.0,0.0
Playing racquet sports,150.0,0.0
Playing racquet sports,155.0,0.0
Playing racquet sports,160.0,0.0
Playing racquet sports,165.0,0.0
Playing racquet sports,170.0,0.0
Playing racquet sports,175.0,0.0
Playing racquet sports,180.0,0.0
Playing racquet sports,185.0,0.0
Playing racquet sports,190.0,0.0
Playing racquet sports,195.0,0.0
Playing racquet sports,200.0,0.0
Playing racquet sports,205.0,0.0
Playing racquet sports,210.0,0.0
Playing racquet sports,215.0,0.0
Playing racquet sports,220.0,0.0
Playing racquet sports,225.0,0.0
Playing racquet sports,230.0,0.0
Playing racquet sports,235.0,0.0
Playing racquet sports,240.0,0.0
Playing racquet sports,245.0,0.0
Playing racquet sports,250.0,0.0
Playing racquet sports,255.0,0.0
Playing racquet sports,260.0,0.0
Playing racquet sports,265.0,0.0
Playing racquet sports,270.0,0.0
Playing racquet sports,275.0,0.0
Playing racquet sports,280.0,0.0
Playing racquet sports,285.0,0.0
Playing racquet sports,290.0,0.0
Playing racquet sports,295.0,0.0
Playing racquet sports,300.0,0.0
Playing racquet sports,305.0,0.0
Playing racquet sports,310.0,0.0
Playing racquet sports,315.0,0.0
Playing racquet sports,320.0,1.2460626000038491e-05
Playing racquet sports,325.0,1.2460626000038491e-05
Playing racquet sports,330.0,1.2460626000038491e-05
Playing racquet sports,335.0,1.2460626000038491e-05
Playing racquet sports,340.0,2.1120822495686367e-05
Playing racquet sports,345.0,2.1120822495686367e-05
Playing racquet sports,350.0,2.1120822495686367e-05
Playing racquet sports,355.0,2.1120822495686367e-05
Playing racquet sports,360.0,2.7914912131532984e-05
Playing racquet sports,365.0,3.0856917703165586e-05
Playing racquet sports,370.0,3.0856917703165586e-05
Playing racquet sports,375.0,3.0856917703165586e-05
Playing racquet sports,380.0,3.0856917703165586e-05
Playing racquet sports,385.0,1.8396291703127105e-05
Playing racquet sports,390.0,3.0272488896006464e-05
Playing racquet sports,395.0,3.939858117772479e-05
Playing racquet sports,400.0,4.5391288467609635e-05
Playing racquet sports,405.0,4.5391288467609635e-05
Playing racquet sports,410.0,4.9848242030676094e-05
Playing racquet sports,415.0,5.770037395029246e-05
Playing racquet sports,420.0,6.995104278977466e-05
Playing racquet sports,425.0,7.405374953074874e-05
Playing racquet sports,430.0,7.767659054439036e-05
Playing racquet sports,435.0,7.857594500103187e-05
Playing racquet sports,440.0,8.966655764019443e-05
Playing racquet sports,445.0,9.529554715471802e-05
Playing racquet sports,450.0,0.00011810240203681876
Playing racquet sports,455.0,0.00010657720839323624
Playing racquet sports,460.0,0.00010566531345728722
Playing racquet sports,465.0,0.00011685497666553477
Playing racquet sports,470.0,0.00016031452411966008
Playing racquet sports,475.0,0.00017005487261264796
Playing racquet sports,480.0,0.0002165202617764077
Playing racquet sports,485.0,0.00023281192654535317
Playing racquet sports,490.0,0.0002261567763994425
Playing racquet sports,495.0,0.00023294431894158583
Playing racquet sports,500.0,0.00023655442291393243
Playing racquet sports,505.0,0.000254367853040748
Playing racquet sports,510.0,0.0002752303579843648
Playing racquet sports,515.0,0.0002806057684947344
Playing racquet sports,520.0,0.0002929095880466688
Playing racquet sports,525.0,0.00029834530623186077
Playing racquet sports,530.0,0.00030726917659374054
Playing racquet sports,535.0,0.0003365576972400031
Playing racquet sports,540.0,0.00036229275798919583
Playing racquet sports,545.0,0.0003633940886631915
Playing racquet sports,550.0,0.00037352734438670016
Playing racquet sports,555.0,0.00040193724962103136
Playing racquet sports,560.0,0.0003540608454942935
Playing racquet sports,565.0,0.00034774413648065033
Playing racquet sports,570.0,0.000356669405591674
Playing racquet sports,575.0,0.00034803523600920644
Playing racquet sports,580.0,0.0003514141155159448
Playing racquet sports,585.0,0.00035581047182626065
Playing racquet sports,590.0,0.0003758879450467508
Playing racquet sports,595.0,0.00039177270456362964
Playing racquet sports,600.0,0.0004625137738570374
Playing racquet sports,605.0,0.00041130908914021
Playing racquet sports,610.0,0.00043771081795065334
Playing racquet sports,615.0,0.00044216594190771904
Playing racquet sports,620.0,0.0004503086986235911
Playing racquet sports,625.0,0.0004446356897539502
Playing racquet sports,630.0,0.00046121150154864913
Playing racquet sports,635.0,0.00042654859883241634
Playing racquet sports,640.0,0.00041608043745989056
Playing racquet sports,645.0,0.0004241589394660284
Playing racquet sports,650.0,0.000424736538621627
Playing racquet sports,655.0,0.00041638040684813737
Playing racquet sports,660.0,0.0004278504876694271
Playing racquet sports,665.0,0.0003938967481366493
Playing racquet sports,670.0,0.000389320647296283
Playing racquet sports,675.0,0.0003928549239718749
Playing racquet sports,680.0,0.0003939064823425802
Playing racquet sports,685.0,0.00038067060270078967
Playing racquet sports,690.0,0.0003805895586137836
Playing racquet sports,695.0,0.0003192397121330555
Playing racquet sports,700.0,0.0003174930061506185
Playing racquet sports,705.0,0.00031841935541272764
Playing racquet sports,710.0,0.00026405351518075536
Playing racquet sports,715.0,0.0002497840397748946
Playing racquet sports,720.0,0.00027390077057977034
Playing racquet sports,725.0,0.0002404781371499603
Playing racquet sports,730.0,0.0002455511879379123
Playing racquet sports,735.0,0.00025559082750478793
Playing racquet sports,740.0,0.00024371199164272675
Playing racquet sports,745.0,0.00023938703735191773
Playing racquet sports,750.0,0.00025025579819774716
Playing racquet sports,755.0,0.00022001592016399703
Playing racquet sports,760.0,0.0002109607305992367
Playing racquet sports,765.0,0.0002119399462609231
Playing racquet sports,770.0,0.00019892806830920502
Playing racquet sports,775.0,0.0002023951137649646
Playing racquet sports,780.0,0.00024037401896713238
Playing racquet sports,785.0,0.00023805563087142895
Playing racquet sports,790.0,0.00022414771193657475
